DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             0.790               1.017            -0.228         4.268
RESSURF            0.788               1.015            -0.227         3.055
SOLIN            340.267             340.267             0.000         0.000
AAM            1.408e+26           1.431e+26        -2.287e+24      -999.000
CHI_200            0.005               0.005             0.000         0.373
CLDHGH            29.039              28.964             0.075         1.092
CLDLOW            33.102              33.201            -0.098         1.183
CLDMED            15.956              15.791             0.165         0.961
CLDTOT            51.154              51.138             0.016         1.155
EKE_850           30.554              30.406             0.147         1.021
EP             7.543e-05           9.191e-05        -1.649e-05         0.271
FLNS              58.972              58.310             0.662         1.386
FLNSC             81.691              80.731             0.960         1.566
FLNT             233.350             234.581            -1.231         1.982
FLNTC            262.418             263.582            -1.164         1.396
FSDS             183.558             182.824             0.734         2.758
FSDSC            246.356             245.573             0.782         1.092
FSNS             158.965             160.034            -1.068         4.764
FSNSC            215.155             216.651            -1.497         6.588
FSNSC_ICE         54.386              54.035             0.351         3.159
FSNSC_LAND       179.607             179.163             0.445         0.937
FSNT             234.139             235.598            -1.459         4.615
FSNTC            286.503             288.448            -1.945         6.395
ICEAREA           23.280              21.968             1.312         0.042
LHFLX             82.094              83.627            -1.533         4.433
LWCF              29.069              29.002             0.067         1.173
PRECT              2.814               2.868            -0.054         0.273
PRECT_LAND         2.385               2.373             0.012         0.187
PRECT_OCEAN        3.110               3.190            -0.080         0.313
PREH2O            26.409              27.497            -1.088         1.479
PREH2O_OCEAN      30.628              31.926            -1.297         1.725
PSI_200           -0.034              -0.034            -0.000         0.147
PS               985.475             985.582            -0.107         0.439
PSL             1011.165            1011.251            -0.087         0.437
QFLX               2.814               2.868            -0.054         0.140
SHFLX             17.111              17.082             0.030         1.296
SNOWHLND          11.205              11.281            -0.076         2.185
SST               20.687              21.274            -0.587         0.706
STRESS_MAG         0.068               0.067             0.002         0.005
SWCF             -52.364             -52.850             0.486         2.907
T_850            282.144             282.712            -0.568         0.647
TGCLDLWP         135.179             136.431            -1.252         7.103
TGCLDIWP          17.170              16.950             0.220         0.805
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           288.053             288.601            -0.548         0.654
TS               288.733             289.288            -0.555         0.679
TS_LAND          283.096             283.555            -0.459         0.567
U_200             15.492              15.688            -0.195         0.891
VT_850             0.172               0.116             0.057         0.447
Z3_500            56.813              56.948            -0.135         0.146
