DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             7.911               8.703            -0.792         6.321
RESSURF            7.225               7.777            -0.552         5.415
SOLIN            350.496             350.496             0.000         0.000
AAM            1.473e+26           1.490e+26        -1.769e+24      -999.000
CHI_200           -0.034              -0.033            -0.001         0.340
CLDHGH            28.430              28.373             0.057         1.481
CLDLOW            32.499              32.547            -0.048         1.525
CLDMED            16.140              16.066             0.073         1.367
CLDTOT            50.349              50.340             0.009         1.643
EKE_850           27.752              27.663             0.089         1.412
EP             5.965e-03           7.440e-03        -1.476e-03         0.410
FLNS              58.574              57.805             0.769         1.797
FLNSC             81.336              80.215             1.122         1.880
FLNT             230.397             231.615            -1.218         2.378
FLNTC            259.038             260.191            -1.154         1.482
FSDS             191.062             189.984             1.078         4.380
FSDSC            256.656             255.755             0.901         1.523
FSNS             163.170             164.814            -1.643         7.050
FSNSC            221.824             224.318            -2.494         9.643
FSNSC_ICE         29.650              25.018             4.633         3.051
FSNSC_LAND       145.248             145.038             0.210         1.437
FSNT             238.309             240.319            -2.010         6.819
FSNTC            292.771             295.698            -2.927         9.381
ICEAREA           21.602              20.449             1.153         0.040
LHFLX             82.546              84.378            -1.832         5.484
LWCF              28.640              28.576             0.064         1.535
PRECT              2.821               2.883            -0.062         0.389
PRECT_LAND         2.337               2.341            -0.003         0.291
PRECT_OCEAN        3.150               3.235            -0.085         0.439
PREH2O            24.900              26.085            -1.184         1.747
PREH2O_OCEAN      29.986              31.421            -1.435         2.042
PSI_200           -0.001              -0.001             0.000         0.133
PS               985.328             985.444            -0.116         0.573
PSL             1011.331            1011.425            -0.095         0.579
QFLX               2.827               2.891            -0.064         0.165
SHFLX             14.826              14.854            -0.027         1.484
SNOWHLND          11.973              12.046            -0.074         2.175
SST               20.678              21.295            -0.617         0.760
STRESS_MAG         0.072               0.070             0.002         0.006
SWCF             -54.462             -55.379             0.917         4.520
T_850            280.489             281.050            -0.562         0.674
TGCLDLWP         135.313             136.828            -1.515        10.040
TGCLDIWP          17.575              17.367             0.208         1.087
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           286.130             286.663            -0.533         0.682
TS               286.768             287.305            -0.537         0.711
TS_LAND          276.404             276.788            -0.384         0.622
U_200             16.214              16.302            -0.088         0.955
VT_850            -0.641              -0.678             0.036         0.585
Z3_500            56.553              56.693            -0.140         0.148
