DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            -9.236              -9.491             0.255         3.075
RESSURF          -10.192             -10.423             0.231         4.862
SOLIN            330.385             330.385             0.000         0.000
AAM            1.196e+26           1.231e+26        -3.527e+24      -999.000
CHI_200            0.037               0.035             0.002         0.570
CLDHGH            30.388              30.353             0.035         1.661
CLDLOW            35.693              35.792            -0.099         1.540
CLDMED            15.969              15.739             0.230         1.457
CLDTOT            54.161              54.142             0.019         1.647
EKE_850           27.811              27.835            -0.025         1.357
EP             1.204e-02           1.115e-02         8.849e-04         0.426
FLNS              57.646              57.018             0.628         1.699
FLNSC             80.894              80.011             0.882         1.685
FLNT             236.664             237.798            -1.133         2.583
FLNTC            266.533             267.649            -1.116         1.510
FSDS             171.174             170.777             0.397         3.492
FSDSC            235.294             234.629             0.664         1.064
FSNS             151.107             151.552            -0.446         3.784
FSNSC            208.631             209.075            -0.444         3.735
FSNSC_ICE         44.794              46.698            -1.904         3.472
FSNSC_LAND       215.087             214.457             0.630         1.493
FSNT             227.428             228.307            -0.878         3.652
FSNTC            281.285             282.214            -0.930         3.599
ICEAREA           24.269              22.894             1.375         0.062
LHFLX             84.170              85.534            -1.364         5.205
LWCF              29.868              29.851             0.017         1.752
PRECT              2.877               2.925            -0.049         0.411
PRECT_LAND         2.426               2.407             0.019         0.296
PRECT_OCEAN        3.172               3.246            -0.074         0.467
PREH2O            28.543              29.591            -1.048         1.417
PREH2O_OCEAN      31.385              32.577            -1.192         1.605
PSI_200           -0.075              -0.074            -0.001         0.237
PS               985.685             985.788            -0.103         0.560
PSL             1011.046            1011.131            -0.084         0.555
QFLX               2.889               2.936            -0.048         0.155
SHFLX             19.483              19.423             0.060         2.070
SNOWHLND          10.192              10.284            -0.092         2.248
SST               20.415              20.975            -0.559         0.664
STRESS_MAG         0.079               0.077             0.002         0.008
SWCF             -53.856             -53.908             0.052         3.202
T_850            284.078             284.658            -0.580         0.678
TGCLDLWP         141.464             142.250            -0.786        10.770
TGCLDIWP          16.262              16.081             0.181         1.158
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           290.035             290.599            -0.563         0.699
TS               290.717             291.285            -0.569         0.726
TS_LAND          289.803             290.330            -0.526         0.661
U_200             13.345              13.729            -0.384         1.267
VT_850             1.007               0.930             0.078         0.682
Z3_500            57.169              57.300            -0.131         0.147
