DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             2.238               2.050             0.188         3.714
RESSURF           -0.494              -0.478            -0.016         4.662
SOLIN            338.254             338.254             0.000         0.000
AAM            1.578e+26           1.561e+26         1.757e+24      -999.000
CHI_200            0.007               0.006             0.001         0.553
CLDHGH            28.930              28.747             0.183         1.719
CLDLOW            31.380              31.516            -0.136         1.416
CLDMED            15.912              15.693             0.219         1.401
CLDTOT            49.671              49.640             0.031         1.594
EKE_850           28.541              28.158             0.384         1.581
EP             2.000e-02           1.943e-02         5.666e-04         0.424
FLNS              60.442              59.820             0.622         1.730
FLNSC             82.553              81.592             0.962         1.844
FLNT             232.705             234.127            -1.422         2.735
FLNTC            262.034             263.261            -1.227         1.591
FSDS             185.374             184.825             0.549         3.353
FSDSC            244.299             243.586             0.713         1.109
FSNS             159.985             160.845            -0.860         4.426
FSNSC            212.677             213.753            -1.076         5.386
FSNSC_ICE         39.529              40.013            -0.484         3.026
FSNSC_LAND       190.586             190.240             0.346         1.544
FSNT             234.943             236.176            -1.234         4.272
FSNTC            284.118             285.627            -1.509         5.276
ICEAREA           22.878              21.487             1.391         0.050
LHFLX             82.059              83.540            -1.481         6.067
LWCF              29.329              29.135             0.195         1.820
PRECT              2.789               2.842            -0.053         0.407
PRECT_LAND         2.298               2.271             0.027         0.269
PRECT_OCEAN        3.107               3.192            -0.085         0.468
PREH2O            25.983              27.102            -1.119         1.655
PREH2O_OCEAN      30.532              31.881            -1.349         1.941
PSI_200           -0.021              -0.021             0.001         0.207
PS               985.434             985.543            -0.110         0.565
PSL             1011.161            1011.246            -0.085         0.584
QFLX               2.809               2.861            -0.052         0.185
SHFLX             17.978              17.964             0.014         1.752
SNOWHLND          12.351              12.404            -0.053         2.148
SST               20.697              21.296            -0.599         0.743
STRESS_MAG         0.067               0.066             0.001         0.008
SWCF             -49.175             -49.451             0.276         3.179
T_850            282.073             282.647            -0.574         0.678
TGCLDLWP         129.207             130.257            -1.049         9.455
TGCLDIWP          17.675              17.352             0.323         1.196
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           288.004             288.568            -0.564         0.706
TS               288.724             289.296            -0.572         0.740
TS_LAND          282.733             283.194            -0.460         0.623
U_200             17.036              16.926             0.110         1.326
VT_850             0.229               0.176             0.053         0.616
Z3_500            56.752              56.893            -0.140         0.166
