DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             2.411               2.985            -0.574         5.550
RESSURF            6.830               7.393            -0.563         4.689
SOLIN            342.177             342.177             0.000         0.000
AAM            1.392e+26           1.448e+26        -5.623e+24      -999.000
CHI_200            0.015               0.017            -0.001         0.373
CLDHGH            28.388              28.363             0.025         1.660
CLDLOW            32.817              32.935            -0.118         1.434
CLDMED            15.805              15.671             0.134         1.243
CLDTOT            50.404              50.407            -0.004         1.608
EKE_850           27.413              27.488            -0.075         1.312
EP            -3.815e-02          -3.810e-02        -5.351e-05         0.376
FLNS              59.231              58.604             0.627         1.647
FLNSC             81.991              81.116             0.875         1.590
FLNT             233.569             234.719            -1.150         2.437
FLNTC            261.992             263.150            -1.158         1.443
FSDS             186.824             185.908             0.916         3.630
FSDSC            249.437             248.587             0.850         1.250
FSNS             161.720             163.060            -1.340         6.322
FSNSC            217.658             219.659            -2.001         8.528
FSNSC_ICE         46.168              45.193             0.975         5.340
FSNSC_LAND       166.620             166.040             0.581         1.084
FSNT             235.980             237.704            -1.724         5.997
FSNTC            287.983             290.419            -2.436         8.148
ICEAREA           24.363              23.041             1.321         0.066
LHFLX             79.557              81.036            -1.480         4.933
LWCF              28.423              28.431            -0.007         1.709
PRECT              2.769               2.820            -0.052         0.357
PRECT_LAND         2.476               2.473             0.003         0.278
PRECT_OCEAN        2.988               3.062            -0.074         0.399
PREH2O            26.166              27.167            -1.001         1.402
PREH2O_OCEAN      30.119              31.283            -1.163         1.589
PSI_200           -0.044              -0.043            -0.001         0.255
PS               985.452             985.550            -0.098         0.469
PSL             1011.125            1011.205            -0.080         0.471
QFLX               2.730               2.782            -0.052         0.148
SHFLX             16.102              16.026             0.076         1.645
SNOWHLND          10.313              10.400            -0.086         2.243
SST               20.287              20.847            -0.560         0.668
STRESS_MAG         0.071               0.070             0.001         0.006
SWCF             -52.003             -52.715             0.712         3.841
T_850            281.917             282.475            -0.558         0.642
TGCLDLWP         134.724             136.397            -1.673         8.918
TGCLDIWP          17.183              17.012             0.171         1.112
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.993             288.525            -0.533         0.636
TS               288.675             289.215            -0.540         0.661
TS_LAND          283.285             283.758            -0.473         0.597
U_200             15.400              15.825            -0.425         1.158
VT_850             0.068               0.010             0.058         0.597
Z3_500            56.767              56.897            -0.131         0.144
