DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -24.645             -25.377             0.732         1.258
RESSURF           -9.310              -9.354             0.045         1.509
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.264               0.003            -0.267         0.353
CLDHGH            25.142              25.087             0.055         0.802
CLDLOW            30.424              30.763            -0.339         0.772
CLDMED            15.215              15.066             0.149         0.494
CLDTOT            46.398              46.549            -0.151         0.904
EKE_850           33.448              33.673            -0.225         0.787
EP            -1.565e-02          -2.726e-02         1.161e-02         0.111
FLNS              64.714              64.512             0.202         1.076
FLNSC             88.006              87.783             0.223         0.836
FLNT             230.709             231.417            -0.708         1.439
FLNTC            254.558             255.188            -0.631         0.924
FSDS             166.150             165.824             0.327         1.593
FSDSC            219.139             218.835             0.304         0.452
FSNS             137.495             137.227             0.268         1.418
FSNSC            183.242             183.043             0.199         1.001
FSNSC_ICE         47.933              47.742             0.191         1.707
FSNSC_LAND       165.373             165.132             0.241         0.934
FSNT             206.064             206.041             0.023         1.243
FSNTC            248.276             248.333            -0.057         0.915
ICEAREA           11.367              11.233             0.134         0.018
LHFLX             60.265              60.266            -0.000         1.471
LWCF              23.849              23.771             0.078         0.749
PRECT              2.071               2.085            -0.014         0.117
PRECT_LAND         1.689               1.685             0.004         0.112
PRECT_OCEAN        2.653               2.684            -0.031         0.131
PREH2O            18.883              19.176            -0.293         0.484
PREH2O_OCEAN      24.973              25.381            -0.408         0.607
PSI_200           -6.627              -6.786             0.158         0.185
PS               976.680             977.056            -0.376         0.451
PSL             1015.583            1015.950            -0.367         0.445
QFLX               2.055               2.058            -0.002         0.048
SHFLX             21.825              21.803             0.021         0.874
SNOWHLND           4.195               4.357            -0.161         2.946
SST               18.534              18.694            -0.160         0.230
STRESS_MAG         0.050               0.049             0.000         0.002
SWCF             -42.212             -42.293             0.080         1.250
T_850            279.122             279.385            -0.263         0.331
TGCLDLWP         125.986             127.280            -1.294         4.637
TGCLDIWP          19.268              19.180             0.088         0.509
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           283.546             283.768            -0.222         0.321
TS               284.092             284.309            -0.217         0.326
TS_LAND          281.292             281.542            -0.250         0.366
U_200             18.233              18.722            -0.490         0.858
VT_850             0.282               0.273             0.009         0.300
Z3_500            56.542              56.636            -0.094         0.102
