DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM          -103.550            -104.278             0.728         1.405
RESSURF          -75.713             -75.931             0.218         3.830
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.430               3.537            -0.107         0.265
CLDHGH            25.799              25.939            -0.141         1.079
CLDLOW            27.195              27.623            -0.427         1.016
CLDMED            17.210              17.074             0.137         0.823
CLDTOT            44.388              44.740            -0.353         1.250
EKE_850           43.449              43.637            -0.188         1.657
EP             1.495e-01           1.411e-01         8.348e-03         0.166
FLNS              65.200              64.874             0.327         1.289
FLNSC             88.251              88.007             0.244         0.959
FLNT             212.785             213.352            -0.567         1.418
FLNTC            235.589             236.252            -0.663         1.151
FSDS              91.235              90.919             0.316         1.301
FSDSC            116.695             116.577             0.118         0.312
FSNS              74.364              74.112             0.252         1.473
FSNSC             95.971              95.918             0.052         1.073
FSNSC_ICE          1.591               1.594            -0.003         0.175
FSNSC_LAND        78.100              78.096             0.004         1.583
FSNT             109.235             109.074             0.161         1.317
FSNTC            130.066             130.114            -0.048         1.026
ICEAREA           13.734              13.574             0.160         0.025
LHFLX             67.647              67.993            -0.346         2.704
LWCF              22.805              22.900            -0.096         0.808
PRECT              2.118               2.140            -0.022         0.150
PRECT_LAND         1.089               1.105            -0.016         0.102
PRECT_OCEAN        3.466               3.492            -0.026         0.197
PREH2O            11.863              12.085            -0.222         0.429
PREH2O_OCEAN      18.818              19.140            -0.322         0.545
PSI_200           -8.102              -8.181             0.079         0.160
PS               977.051             977.606            -0.555         0.717
PSL             1017.293            1017.833            -0.540         0.739
QFLX               2.267               2.281            -0.014         0.082
SHFLX             17.230              17.177             0.053         1.503
SNOWHLND           5.660               5.818            -0.158         2.930
SST               16.518              16.684            -0.166         0.243
STRESS_MAG         0.075               0.075            -0.000         0.006
SWCF             -20.831             -21.040             0.209         0.970
T_850            271.317             271.544            -0.227         0.381
TGCLDLWP         120.673             122.617            -1.945         6.318
TGCLDIWP          23.688              23.699            -0.011         0.936
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           274.369             274.574            -0.205         0.455
TS               274.859             275.055            -0.195         0.466
TS_LAND          265.907             266.073            -0.166         0.552
U_200             25.316              25.839            -0.523         1.059
VT_850             0.422               0.404             0.018         0.516
Z3_500            55.196              55.305            -0.109         0.128
