DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            52.608              51.841             0.767         2.259
RESSURF           54.872              54.710             0.161         2.076
SOLIN            445.896             445.896             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.946              -3.657            -0.289         0.492
CLDHGH            25.191              25.120             0.071         1.504
CLDLOW            37.456              37.728            -0.272         1.331
CLDMED            13.476              13.361             0.115         1.044
CLDTOT            52.319              52.406            -0.087         1.633
EKE_850           18.985              19.183            -0.198         0.951
EP            -2.267e-01          -2.511e-01         2.439e-02         0.236
FLNS              59.613              59.443             0.170         1.818
FLNSC             83.900              83.620             0.280         1.385
FLNT             249.423             250.064            -0.641         2.462
FLNTC            274.603             275.179            -0.575         1.161
FSDS             232.805             232.344             0.461         3.783
FSDSC            319.926             319.514             0.412         0.993
FSNS             197.528             197.021             0.507         3.342
FSNSC            273.537             273.156             0.381         2.067
FSNSC_ICE        127.155             126.707             0.448         5.820
FSNSC_LAND       257.096             256.642             0.453         1.584
FSNT             302.031             301.904             0.126         2.965
FSNTC            371.392             371.397            -0.005         1.864
ICEAREA            8.824               8.758             0.066         0.020
LHFLX             55.048              54.815             0.233         2.303
LWCF              25.181              25.115             0.065         1.557
PRECT              2.153               2.172            -0.020         0.237
PRECT_LAND         2.454               2.446             0.008         0.251
PRECT_OCEAN        1.959               2.008            -0.050         0.235
PREH2O            28.256              28.698            -0.442         0.790
PREH2O_OCEAN      32.555              33.162            -0.607         0.862
PSI_200           -4.340              -4.614             0.274         0.297
PS               975.724             976.094            -0.371         0.522
PSL             1013.325            1013.686            -0.362         0.522
QFLX               1.926               1.921             0.005         0.069
SHFLX             27.995              28.053            -0.058         1.398
SNOWHLND           2.270               2.461            -0.191         3.031
SST               20.147              20.309            -0.162         0.237
STRESS_MAG         0.048               0.048             0.000         0.003
SWCF             -69.361             -69.492             0.131         2.998
T_850            288.122             288.405            -0.283         0.438
TGCLDLWP         135.493             136.237            -0.745         8.867
TGCLDIWP          13.964              13.894             0.070         0.940
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           292.817             293.047            -0.230         0.368
TS               293.398             293.627            -0.229         0.380
TS_LAND          296.681             297.011            -0.330         0.499
U_200              9.202               9.639            -0.437         1.029
VT_850             0.129               0.115             0.014         0.688
Z3_500            58.082              58.175            -0.093         0.108
