DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            18.171              17.423             0.748         1.885
RESSURF           18.019              18.212            -0.193         2.991
SOLIN            367.642             367.642             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.950               1.402            -0.451         0.520
CLDHGH            24.856              24.500             0.356         1.377
CLDLOW            27.606              27.876            -0.270         1.060
CLDMED            15.191              14.955             0.236         0.852
CLDTOT            43.978              43.902             0.076         1.301
EKE_850           33.680              33.902            -0.222         1.350
EP             2.108e-02           1.723e-02         3.857e-03         0.169
FLNS              70.043              69.996             0.047         1.338
FLNSC             92.985              92.793             0.192         0.984
FLNT             227.903             229.007            -1.104         1.957
FLNTC            251.408             252.115            -0.707         1.077
FSDS             209.572             209.439             0.133         2.626
FSDSC            268.594             268.223             0.371         0.721
FSNS             165.644             165.735            -0.091         2.484
FSNSC            215.633             215.567             0.066         2.246
FSNSC_ICE         48.846              48.193             0.653         2.689
FSNSC_LAND       194.407             194.240             0.167         1.868
FSNT             246.074             246.430            -0.356         2.234
FSNTC            290.982             291.203            -0.221         2.102
ICEAREA           14.271              14.028             0.243         0.031
LHFLX             53.110              53.112            -0.002         2.460
LWCF              23.505              23.108             0.397         1.252
PRECT              1.779               1.785            -0.005         0.155
PRECT_LAND         1.533               1.518             0.014         0.133
PRECT_OCEAN        2.227               2.251            -0.023         0.187
PREH2O            15.177              15.417            -0.239         0.487
PREH2O_OCEAN      20.900              21.236            -0.337         0.636
PSI_200           -7.986              -7.945            -0.041         0.135
PS               977.054             977.282            -0.229         0.419
PSL             1015.947            1016.164            -0.217         0.420
QFLX               1.800               1.802            -0.001         0.074
SHFLX             24.473              24.415             0.057         1.393
SNOWHLND           6.373               6.493            -0.120         2.875
SST               16.459              16.617            -0.158         0.246
STRESS_MAG         0.046               0.045             0.001         0.004
SWCF             -44.908             -44.773            -0.135         2.184
T_850            277.307             277.583            -0.276         0.404
TGCLDLWP         116.200             117.057            -0.856         7.212
TGCLDIWP          20.542              20.283             0.259         1.042
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.011             282.238            -0.227         0.400
TS               282.543             282.762            -0.219         0.404
TS_LAND          280.995             281.237            -0.242         0.448
U_200             20.779              21.264            -0.485         1.233
VT_850             0.460               0.451             0.010         0.623
Z3_500            56.149              56.234            -0.085         0.108
