DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -67.982             -68.683             0.700         1.369
RESSURF          -36.119             -36.160             0.041         3.067
SOLIN            239.469             239.469             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.413              -1.198            -0.215         0.400
CLDHGH            24.726              24.786            -0.060         1.401
CLDLOW            29.353              29.729            -0.375         1.162
CLDMED            15.030              14.922             0.107         0.858
CLDTOT            44.840              45.074            -0.233         1.466
EKE_850           30.017              30.366            -0.349         1.237
EP            -3.644e-03          -1.277e-02         9.128e-03         0.195
FLNS              64.008              63.754             0.254         1.554
FLNSC             86.886              86.715             0.172         1.143
FLNT             232.333             232.880            -0.547         1.899
FLNTC            256.221             256.815            -0.594         0.940
FSDS             128.950             128.569             0.381         2.041
FSDSC            168.566             168.255             0.311         0.554
FSNS             110.775             110.387             0.388         1.760
FSNSC            145.522             145.231             0.291         0.694
FSNSC_ICE         10.403              10.375             0.028         0.905
FSNSC_LAND       129.609             129.275             0.333         0.834
FSNT             164.351             164.197             0.153         1.610
FSNTC            197.542             197.496             0.046         0.470
ICEAREA            8.668               8.606             0.062         0.026
LHFLX             65.426              65.373             0.053         2.650
LWCF              23.888              23.935            -0.047         1.315
PRECT              2.237               2.246            -0.009         0.201
PRECT_LAND         1.667               1.657             0.010         0.209
PRECT_OCEAN        2.955               2.983            -0.028         0.202
PREH2O            20.090              20.357            -0.267         0.581
PREH2O_OCEAN      26.707              27.117            -0.410         0.687
PSI_200           -6.116              -6.438             0.322         0.342
PS               976.912             977.241            -0.329         0.520
PSL             1015.822            1016.145            -0.323         0.526
QFLX               2.233               2.233            -0.000         0.084
SHFLX             17.460              17.421             0.040         1.182
SNOWHLND           2.493               2.670            -0.176         3.042
SST               19.820              19.969            -0.149         0.227
STRESS_MAG         0.049               0.048             0.001         0.004
SWCF             -33.192             -33.299             0.108         1.682
T_850            279.619             279.893            -0.274         0.374
TGCLDLWP         131.506             133.148            -1.642         7.323
TGCLDIWP          18.982              18.947             0.035         0.902
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.787             285.019            -0.232         0.361
TS               285.369             285.597            -0.228         0.373
TS_LAND          281.230             281.512            -0.282         0.435
U_200             17.794              18.304            -0.510         1.230
VT_850             0.112               0.119            -0.007         0.566
Z3_500            56.709              56.797            -0.088         0.106
