DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -23.329             -21.030            -2.299         7.063
RESSURF           -4.643              -3.491            -1.152         3.873
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.817               0.562             0.255         0.365
CLDHGH            25.240              25.383            -0.143         1.118
CLDLOW            39.497              39.758            -0.261         1.294
CLDMED            15.701              15.572             0.129         0.926
CLDTOT            53.451              53.660            -0.209         1.172
EKE_850           44.321              43.776             0.545         1.385
EP             1.069e-01           1.097e-01        -2.762e-03         0.197
FLNS              60.126              59.164             0.962         1.584
FLNSC             88.922              87.730             1.192         1.794
FLNT             224.928             226.413            -1.485         1.918
FLNTC            249.051             250.810            -1.759         1.835
FSDS             168.315             166.355             1.959         3.580
FSDSC            226.619             225.450             1.169         1.565
FSNS             138.452             141.933            -3.481         7.759
FSNSC            188.680             194.255            -5.574        11.374
FSNSC_ICE         60.651              61.038            -0.387         4.220
FSNSC_LAND       129.945             129.659             0.287         0.540
FSNT             201.599             205.383            -3.784         7.539
FSNTC            247.324             253.205            -5.881        11.081
ICEAREA           11.913              10.735             1.178         0.055
LHFLX             70.652              73.923            -3.271         6.446
LWCF              24.123              24.398            -0.274         1.154
PRECT              2.282               2.393            -0.111         0.256
PRECT_LAND         1.662               1.704            -0.043         0.132
PRECT_OCEAN        2.460               2.587            -0.127         0.288
PREH2O            17.128              18.425            -1.296         1.637
PREH2O_OCEAN      19.488              20.882            -1.394         1.824
PSI_200            7.262               7.303            -0.041         0.103
PS               983.568             983.443             0.125         0.565
PSL             1007.282            1007.115             0.166         0.570
QFLX               2.389               2.503            -0.114         0.215
SHFLX             12.317              12.336            -0.019         1.577
SNOWHLND          46.972              46.923             0.049         0.990
SST               14.777              15.650            -0.874         0.955
STRESS_MAG         0.094               0.092             0.002         0.007
SWCF             -45.725             -47.822             2.097         4.158
T_850            276.156             276.999            -0.844         0.876
TGCLDLWP         141.321             144.820            -3.499         8.265
TGCLDIWP          20.371              20.083             0.288         1.013
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.183             282.048            -0.866         0.916
TS               281.715             282.605            -0.890         0.962
TS_LAND          266.480             267.347            -0.867         0.891
U_200             25.585              25.500             0.084         0.954
VT_850            -0.215              -0.204            -0.010         0.589
Z3_500            55.200              55.373            -0.173         0.184
