DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM          -110.739            -110.450            -0.290         4.101
RESSURF          -82.963             -83.728             0.765         6.415
SOLIN            154.664             154.664             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.572               4.282             0.290         0.520
CLDHGH            31.232              31.246            -0.014         1.502
CLDLOW            37.671              38.023            -0.352         1.417
CLDMED            17.548              17.433             0.116         1.178
CLDTOT            56.060              56.176            -0.116         1.300
EKE_850           55.288              55.161             0.127         2.000
EP             1.946e-01           1.842e-01         1.043e-02         0.211
FLNS              63.014              62.232             0.783         1.591
FLNSC             92.029              91.206             0.822         1.702
FLNT             214.729             216.159            -1.430         2.053
FLNTC            241.351             243.086            -1.735         1.927
FSDS              81.792              80.662             1.130         2.202
FSDSC            108.904             108.323             0.580         0.888
FSNS              71.142              72.687            -1.545         4.153
FSNSC             94.409              97.091            -2.682         6.036
FSNSC_ICE          2.542               2.337             0.206         0.316
FSNSC_LAND        77.378              77.173             0.205         0.473
FSNT             103.990             105.709            -1.720         4.068
FSNTC            126.486             129.356            -2.870         5.966
ICEAREA           15.445              14.136             1.309         0.081
LHFLX             77.611              80.755            -3.144         6.592
LWCF              26.622              26.927            -0.305         1.348
PRECT              2.414               2.535            -0.122         0.271
PRECT_LAND         0.860               0.911            -0.051         0.137
PRECT_OCEAN        2.845               2.978            -0.133         0.304
PREH2O            13.492              14.511            -1.018         1.292
PREH2O_OCEAN      15.996              17.086            -1.091         1.440
PSI_200            7.253               7.438            -0.185         0.230
PS               983.600             983.578             0.022         0.777
PSL             1007.589            1007.532             0.057         0.768
QFLX               2.608               2.720            -0.111         0.220
SHFLX             13.480              13.428             0.052         2.873
SNOWHLND          46.993              46.944             0.049         1.014
SST               13.270              14.076            -0.806         0.870
STRESS_MAG         0.107               0.104             0.003         0.010
SWCF             -22.496             -23.647             1.151         2.363
T_850            273.265             274.082            -0.817         0.862
TGCLDLWP         139.789             144.437            -4.648         9.120
TGCLDIWP          23.195              22.958             0.236         1.320
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           278.041             278.924            -0.883         0.976
TS               278.616             279.517            -0.901         1.026
TS_LAND          259.168             260.056            -0.889         0.945
U_200             30.537              30.359             0.178         1.424
VT_850            -0.370              -0.345            -0.025         0.801
Z3_500            54.580              54.750            -0.170         0.191
