DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -69.630             -68.458            -1.172         5.648
RESSURF          -43.701             -43.747             0.046         5.665
SOLIN            232.634             232.634             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.319              -0.766             0.447         0.539
CLDHGH            23.953              24.112            -0.160         1.429
CLDLOW            38.783              39.139            -0.356         1.535
CLDMED            16.168              15.929             0.239         1.181
CLDTOT            51.940              52.274            -0.334         1.524
EKE_850           42.900              41.701             1.199         2.191
EP             1.407e-01           1.529e-01        -1.224e-02         0.249
FLNS              58.979              57.900             1.079         2.040
FLNSC             86.822              85.430             1.391         2.279
FLNT             226.102             227.820            -1.718         2.346
FLNTC            250.386             252.299            -1.913         2.034
FSDS             123.207             121.689             1.518         3.316
FSDSC            167.414             166.414             1.000         1.385
FSNS             106.831             109.405            -2.574         6.259
FSNSC            145.524             149.612            -4.088         9.036
FSNSC_ICE         21.658              21.057             0.601         3.690
FSNSC_LAND       103.696             103.323             0.373         0.589
FSNT             156.472             159.361            -2.890         6.152
FSNTC            193.003             197.440            -4.436         8.925
ICEAREA            8.607               7.459             1.147         0.064
LHFLX             79.455              83.152            -3.697         8.262
LWCF              24.284              24.479            -0.195         1.399
PRECT              2.547               2.663            -0.115         0.327
PRECT_LAND         1.550               1.547             0.003         0.206
PRECT_OCEAN        2.797               2.936            -0.139         0.357
PREH2O            18.751              20.283            -1.532         1.944
PREH2O_OCEAN      21.002              22.626            -1.624         2.144
PSI_200            7.917               7.702             0.214         0.261
PS               983.460             983.468            -0.009         0.851
PSL             1007.322            1007.279             0.043         0.890
QFLX               2.688               2.815            -0.128         0.276
SHFLX             12.098              12.099            -0.001         2.059
SNOWHLND          46.947              46.891             0.055         1.134
SST               15.712              16.635            -0.923         1.021
STRESS_MAG         0.092               0.092             0.000         0.011
SWCF             -36.532             -38.079             1.547         3.532
T_850            277.141             278.037            -0.896         0.942
TGCLDLWP         145.539             148.598            -3.059         9.571
TGCLDIWP          20.707              20.273             0.434         1.263
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.071             283.013            -0.942         1.008
TS               282.657             283.627            -0.970         1.070
TS_LAND          264.252             265.170            -0.918         0.974
U_200             24.682              24.481             0.201         1.503
VT_850            -0.152              -0.140            -0.012         0.725
Z3_500            55.385              55.588            -0.202         0.230
