DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            17.383              20.801            -3.418         9.178
RESSURF           29.061              31.588            -2.527         5.841
SOLIN            367.302             367.302             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.905               1.726             0.180         0.298
CLDHGH            24.736              24.902            -0.166         1.583
CLDLOW            38.955              39.247            -0.292         1.481
CLDMED            15.351              15.187             0.163         1.109
CLDTOT            52.664              52.881            -0.217         1.563
EKE_850           42.441              42.253             0.188         1.653
EP             1.160e-01           1.242e-01        -8.194e-03         0.236
FLNS              62.366              61.570             0.796         1.651
FLNSC             91.234              90.304             0.929         1.556
FLNT             223.149             224.536            -1.386         2.139
FLNTC            246.265             247.981            -1.716         1.815
FSDS             208.496             206.206             2.289         4.659
FSDSC            277.258             275.949             1.309         1.771
FSNS             166.677             171.245            -4.568        10.290
FSNSC            224.832             232.073            -7.240        14.773
FSNSC_ICE         63.063              63.161            -0.099         6.518
FSNSC_LAND       149.512             149.200             0.312         0.581
FSNT             240.533             245.337            -4.805         9.776
FSNTC            292.373             299.815            -7.442        14.157
ICEAREA           15.695              14.435             1.260         0.079
LHFLX             62.416              65.292            -2.876         6.168
LWCF              23.116              23.445            -0.329         1.535
PRECT              1.983               2.074            -0.092         0.249
PRECT_LAND         1.518               1.576            -0.057         0.164
PRECT_OCEAN        2.100               2.203            -0.103         0.279
PREH2O            15.097              16.126            -1.029         1.330
PREH2O_OCEAN      17.341              18.434            -1.094         1.477
PSI_200            7.258               7.466            -0.208         0.229
PS               983.367             983.198             0.168         0.563
PSL             1007.051            1006.843             0.208         0.567
QFLX               2.099               2.199            -0.100         0.200
SHFLX             12.834              12.795             0.039         1.980
SNOWHLND          47.010              46.973             0.037         0.860
SST               13.142              13.944            -0.802         0.875
STRESS_MAG         0.103               0.102             0.001         0.006
SWCF             -51.841             -54.478             2.637         5.500
T_850            274.903             275.701            -0.798         0.839
TGCLDLWP         134.694             138.176            -3.482         9.800
TGCLDIWP          20.884              20.687             0.197         1.352
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.783             280.579            -0.796         0.850
TS               280.265             281.080            -0.816         0.891
TS_LAND          266.559             267.404            -0.845         0.883
U_200             27.361              27.376            -0.014         1.040
VT_850            -0.242              -0.242            -0.001         0.724
Z3_500            54.912              55.071            -0.159         0.172
