DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            49.190              48.331             0.858         1.882
RESSURF           15.957              15.544             0.413         3.269
SOLIN            408.204             408.204             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.526              -0.538             0.012         0.401
CLDHGH            36.557              36.249             0.308         1.293
CLDLOW            29.472              29.178             0.295         1.385
CLDMED            16.927              16.712             0.215         1.285
CLDTOT            53.555              53.157             0.398         1.342
EKE_850           15.164              15.040             0.124         0.792
EP            -8.893e-02          -8.024e-02        -8.694e-03         0.409
FLNS              52.237              51.419             0.818         1.447
FLNSC             68.462              67.008             1.454         1.848
FLNT             244.155             245.649            -1.494         2.447
FLNTC            283.153             284.256            -1.104         1.278
FSDS             215.449             215.515            -0.066         2.733
FSDSC            292.217             291.346             0.871         0.965
FSNS             199.974             199.990            -0.016         2.501
FSNSC            272.184             271.354             0.830         0.911
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       245.806             244.827             0.979         1.153
FSNT             293.345             293.980            -0.635         2.429
FSNTC            362.109             362.053             0.056         0.236
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            114.589             115.921            -1.332         3.915
LWCF              38.997              38.608             0.390         1.489
PRECT              4.059               4.096            -0.036         0.377
PRECT_LAND         4.264               4.199             0.065         0.302
PRECT_OCEAN        3.988               4.057            -0.069         0.398
PREH2O            42.824              44.486            -1.662         1.902
PREH2O_OCEAN      44.424              46.254            -1.830         2.034
PSI_200           -0.722              -0.606            -0.116         0.139
PS               995.929             995.999            -0.070         0.241
PSL             1010.642            1010.701            -0.060         0.232
QFLX               3.970               4.015            -0.045         0.102
SHFLX             17.191              17.105             0.085         1.336
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.379              27.934            -0.555         0.598
STRESS_MAG         0.054               0.052             0.002         0.005
SWCF             -68.764             -68.073            -0.691         2.559
T_850            290.468             291.064            -0.596         0.617
TGCLDLWP         138.158             137.175             0.983         7.829
TGCLDIWP          11.995              11.711             0.284         0.811
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.165             299.722            -0.557         0.587
TS               300.122             300.679            -0.557         0.593
TS_LAND          298.675             299.250            -0.575         0.590
U_200              2.959               3.140            -0.181         0.858
VT_850             0.428               0.265             0.163         0.408
Z3_500            58.652              58.791            -0.139         0.139
