DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            54.023              52.779             1.245         2.862
RESSURF           15.924              14.871             1.053         5.183
SOLIN            413.168             413.168             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.559              -0.569             0.010         0.422
CLDHGH            38.307              37.778             0.529         1.830
CLDLOW            27.769              27.452             0.317         1.579
CLDMED            17.483              17.400             0.083         1.766
CLDTOT            53.456              52.922             0.534         1.794
EKE_850           11.254              11.078             0.176         1.157
EP            -1.012e-01          -9.135e-02        -9.867e-03         0.598
FLNS              54.534              53.734             0.800         1.768
FLNSC             70.450              68.964             1.486         2.124
FLNT             242.183             243.853            -1.669         3.148
FLNTC            282.588             283.722            -1.134         1.446
FSDS             219.050             218.987             0.063         4.144
FSDSC            296.056             295.267             0.789         1.133
FSNS             203.178             203.076             0.102         3.879
FSNSC            275.624             274.874             0.750         1.045
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       248.680             248.083             0.598         1.312
FSNT             296.207             296.631            -0.425         3.642
FSNTC            365.707             365.665             0.042         0.249
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            116.341             118.119            -1.778         5.616
LWCF              40.405              39.869             0.536         2.048
PRECT              4.134               4.184            -0.050         0.563
PRECT_LAND         4.493               4.430             0.063         0.488
PRECT_OCEAN        4.014               4.100            -0.086         0.585
PREH2O            41.215              42.928            -1.712         2.132
PREH2O_OCEAN      43.228              45.194            -1.965         2.298
PSI_200            1.456               1.547            -0.092         0.135
PS               994.871             994.969            -0.098         0.279
PSL             1009.598            1009.688            -0.089         0.272
QFLX               4.033               4.093            -0.060         0.151
SHFLX             16.380              16.352             0.028         1.554
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.311              27.871            -0.559         0.601
STRESS_MAG         0.058               0.057             0.001         0.006
SWCF             -69.501             -69.034            -0.467         3.693
T_850            289.991             290.585            -0.594         0.622
TGCLDLWP         139.851             139.783             0.067        11.654
TGCLDIWP          12.528              12.185             0.343         1.178
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.823             299.377            -0.554         0.589
TS               299.755             300.299            -0.543         0.585
TS_LAND          297.333             297.835            -0.503         0.543
U_200              3.957               3.676             0.281         0.981
VT_850            -2.129              -2.219             0.090         0.533
Z3_500            58.484              58.632            -0.147         0.148
