DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            56.873              55.902             0.971         2.472
RESSURF           23.626              23.528             0.098         4.911
SOLIN            412.713             412.713             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.598              -0.604             0.007         0.595
CLDHGH            37.771              37.422             0.350         2.208
CLDLOW            27.835              27.626             0.209         1.589
CLDMED            16.367              16.184             0.183         1.931
CLDTOT            53.015              52.672             0.343         1.894
EKE_850           10.533              10.343             0.191         0.999
EP            -9.896e-02          -1.088e-01         9.860e-03         0.666
FLNS              52.494              51.756             0.738         1.739
FLNSC             68.195              66.901             1.294         2.008
FLNT             243.844             245.288            -1.444         3.603
FLNTC            283.790             284.856            -1.066         1.519
FSDS             222.461             222.452             0.009         3.967
FSDSC            295.667             294.900             0.767         1.120
FSNS             206.377             206.313             0.063         3.683
FSNSC            275.382             274.632             0.750         1.005
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       247.640             246.948             0.691         1.281
FSNT             300.717             301.190            -0.473         3.474
FSNTC            366.410             366.318             0.091         0.303
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            112.879             113.638            -0.759         6.011
LWCF              39.946              39.568             0.378         2.518
PRECT              4.012               4.049            -0.037         0.601
PRECT_LAND         4.332               4.261             0.071         0.448
PRECT_OCEAN        3.906               3.978            -0.071         0.643
PREH2O            43.601              45.174            -1.573         2.040
PREH2O_OCEAN      45.321              47.084            -1.763         2.199
PSI_200            0.007               0.174            -0.167         0.206
PS               995.547             995.639            -0.092         0.254
PSL             1010.235            1010.317            -0.082         0.247
QFLX               3.913               3.940            -0.028         0.146
SHFLX             17.379              17.392            -0.013         1.741
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.865              28.388            -0.523         0.585
STRESS_MAG         0.053               0.051             0.002         0.007
SWCF             -65.693             -65.128            -0.565         3.606
T_850            291.030             291.582            -0.552         0.582
TGCLDLWP         125.959             125.235             0.725        11.124
TGCLDIWP          11.914              11.636             0.278         1.268
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.652             300.176            -0.524         0.569
TS               300.688             301.216            -0.528         0.583
TS_LAND          299.532             300.094            -0.561         0.592
U_200              5.913               5.309             0.603         1.226
VT_850             0.367               0.214             0.153         0.487
Z3_500            58.677              58.811            -0.134         0.134
