DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            56.544              55.584             0.960         2.618
RESSURF           27.066              26.300             0.765         4.734
SOLIN            417.955             417.955             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.436              -0.466             0.030         0.411
CLDHGH            35.531              35.237             0.294         1.941
CLDLOW            30.205              29.902             0.303         1.617
CLDMED            17.006              16.875             0.131         1.626
CLDTOT            53.630              53.201             0.429         1.775
EKE_850           11.135              11.196            -0.062         0.981
EP            -2.224e-01          -2.213e-01        -1.070e-03         0.570
FLNS              51.504              50.678             0.826         1.729
FLNSC             68.182              66.674             1.508         1.956
FLNT             244.953             246.463            -1.509         3.090
FLNTC            282.991             284.154            -1.164         1.440
FSDS             222.184             222.086             0.099         3.694
FSDSC            301.253             300.324             0.928         1.119
FSNS             206.637             206.513             0.124         3.408
FSNSC            281.108             280.231             0.877         1.075
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       255.118             253.830             1.287         1.669
FSNT             301.497             302.047            -0.550         3.218
FSNTC            372.031             372.003             0.028         0.293
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            110.101             111.714            -1.613         5.277
LWCF              38.037              37.691             0.346         2.152
PRECT              4.056               4.110            -0.055         0.525
PRECT_LAND         4.745               4.713             0.032         0.422
PRECT_OCEAN        3.831               3.914            -0.083         0.553
PREH2O            42.912              44.601            -1.689         1.936
PREH2O_OCEAN      44.020              45.820            -1.800         2.018
PSI_200           -1.244              -1.131            -0.113         0.165
PS               995.828             995.962            -0.133         0.277
PSL             1010.516            1010.641            -0.125         0.268
QFLX               3.833               3.889            -0.056         0.136
SHFLX             17.967              17.821             0.146         1.671
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.136              27.711            -0.575         0.618
STRESS_MAG         0.055               0.053             0.002         0.006
SWCF             -70.534             -69.956            -0.577         3.356
T_850            290.514             291.115            -0.601         0.630
TGCLDLWP         137.897             137.834             0.063         9.417
TGCLDIWP          11.810              11.531             0.278         1.035
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.143             299.712            -0.569         0.600
TS               300.120             300.694            -0.574         0.616
TS_LAND          299.442             300.022            -0.580         0.617
U_200              1.380               2.122            -0.742         1.194
VT_850             0.314               0.141             0.173         0.486
Z3_500            58.634              58.779            -0.145         0.145
